Category,Mystery,Century,Count
Default,1,500,1
Default,1,800,1
Default,1,1000,1
Default,1,1100,3
Default,1,1200,6
Default,1,1300,29
Default,1,1400,48
Default,1,1500,95
Default,1,1600,60
Default,1,1700,39
Default,1,1800,13
Default,1,1900,14
Default,1,2000,1
Default,2,1100,1
Default,2,1200,1
Default,2,1300,6
Default,2,1400,7
Default,2,1500,29
Default,2,1600,20
Default,2,1700,10
Default,2,1800,5
Default,2,1900,6
Default,3,500,1
Default,3,1100,3
Default,3,1200,2
Default,3,1300,18
Default,3,1400,34
Default,3,1500,68
Default,3,1600,32
Default,3,1700,32
Default,3,1800,12
Default,3,1900,19
Default,4,600,1
Default,4,1200,2
Default,4,1300,2
Default,4,1400,5
Default,4,1500,32
Default,4,1600,18
Default,4,1700,12
Default,4,1800,6
Default,4,1900,3
Default,5,1400,1
Default,5,1500,5
Default,5,1600,7
Default,6,1200,1
Default,6,1300,1
Default,6,1400,1
Default,6,1500,18
Default,6,1600,20
Default,6,1700,9
Default,6,1800,4
Default,7,1500,5
Default,7,1600,1
Default,7,1700,2
Default,8,1400,3
Default,8,1500,22
Default,8,1600,19
Default,8,1700,3
Default,8,1800,3
Default,8,1900,1
Default,9,0,1
Default,9,1300,1
Default,9,1400,5
Default,9,1500,30
Default,9,1600,29
Default,9,1700,11
Default,9,1800,5
Default,9,1900,2
Default,10,0,1
Default,10,800,2
Default,10,900,1
Default,10,1000,7
Default,10,1100,19
Default,10,1200,18
Default,10,1300,62
Default,10,1400,103
Default,10,1500,204
Default,10,1600,125
Default,10,1700,55
Default,10,1800,55
Default,10,1900,57
Default,10,2000,2
Default,11,1200,1
Default,11,1300,4
Default,11,1400,9
Default,11,1500,62
Default,11,1600,47
Default,11,1700,6
Default,11,1800,4
Default,11,1900,5
Default,11,2000,1
Default,12,900,1
Default,12,1000,1
Default,12,1300,2
Default,12,1400,2
Default,12,1500,15
Default,12,1600,11
Default,12,1700,9
Default,12,1800,10
Default,12,1900,6
Default,13,1500,3
Default,13,1600,1
Default,13,1700,1
Default,14,1300,2
Default,14,1400,5
Default,14,1500,21
Default,14,1600,51
Default,14,1700,26
Default,14,1800,8
Default,15,1200,1
Default,15,1300,11
Default,15,1400,8
Default,15,1500,27
Default,15,1600,11
Default,15,1700,7
Default,15,1800,2
Default,15,1900,3
