Mysterynum,Mystery,UniqueClassifications,Count,Category
1,ANNUNCIATION,16,311,Default
2,VISITATION,15,85,Default
3,NATIVITY,19,221,Default
4,THE PRESENTATION,14,81,Default
5,CHRIST AMONG THE DOCTORS,5,13,Default
6,AGONY IN THE GARDEN,9,54,Default
7,SCOURGING OF CHRIST,4,8,Default
8,CROWNED WITH THORNS,8,51,Default
9,CARRYING THE CROSS,8,84,Default
10,CRUCIFIXION,35,711,Default
11,RESURRECTION,12,139,Default
12,ASCENSION,10,57,Default
13,DESCENT OF THE HOLY,3,5,Default
14,ASSUMPTION,9,113,Default
15,CORONATION OF THE VIRGIN,13,70,Default
