Mysterynum,Mystery,Century,Count
1,ANNUNCIATION,500,1
1,ANNUNCIATION,800,1
1,ANNUNCIATION,1000,1
1,ANNUNCIATION,1100,3
1,ANNUNCIATION,1200,6
1,ANNUNCIATION,1300,29
1,ANNUNCIATION,1400,48
1,ANNUNCIATION,1500,95
1,ANNUNCIATION,1600,60
1,ANNUNCIATION,1700,39
1,ANNUNCIATION,1800,13
1,ANNUNCIATION,1900,14
1,ANNUNCIATION,2000,1
2,VISITATION,1100,1
2,VISITATION,1200,1
2,VISITATION,1300,6
2,VISITATION,1400,7
2,VISITATION,1500,29
2,VISITATION,1600,20
2,VISITATION,1700,10
2,VISITATION,1800,5
2,VISITATION,1900,6
3,NATIVITY,500,1
3,NATIVITY,1100,3
3,NATIVITY,1200,2
3,NATIVITY,1300,18
3,NATIVITY,1400,34
3,NATIVITY,1500,68
3,NATIVITY,1600,32
3,NATIVITY,1700,32
3,NATIVITY,1800,12
3,NATIVITY,1900,19
4,THE PRESENTATION,600,1
4,THE PRESENTATION,1200,2
4,THE PRESENTATION,1300,2
4,THE PRESENTATION,1400,5
4,THE PRESENTATION,1500,32
4,THE PRESENTATION,1600,18
4,THE PRESENTATION,1700,12
4,THE PRESENTATION,1800,6
4,THE PRESENTATION,1900,3
5,CHRIST AMONG THE DOCTORS,1400,1
5,CHRIST AMONG THE DOCTORS,1500,5
5,CHRIST AMONG THE DOCTORS,1600,7
6,AGONY IN THE GARDEN,1200,1
6,AGONY IN THE GARDEN,1300,1
6,AGONY IN THE GARDEN,1400,1
6,AGONY IN THE GARDEN,1500,18
6,AGONY IN THE GARDEN,1600,20
6,AGONY IN THE GARDEN,1700,9
6,AGONY IN THE GARDEN,1800,4
7,SCOURGING OF CHRIST,1500,5
7,SCOURGING OF CHRIST,1600,1
7,SCOURGING OF CHRIST,1700,2
8,CROWNED WITH THORNS,1400,3
8,CROWNED WITH THORNS,1500,22
8,CROWNED WITH THORNS,1600,19
8,CROWNED WITH THORNS,1700,3
8,CROWNED WITH THORNS,1800,3
8,CROWNED WITH THORNS,1900,1
9,CARRYING THE CROSS,0,1
9,CARRYING THE CROSS,1300,1
9,CARRYING THE CROSS,1400,5
9,CARRYING THE CROSS,1500,30
9,CARRYING THE CROSS,1600,29
9,CARRYING THE CROSS,1700,11
9,CARRYING THE CROSS,1800,5
9,CARRYING THE CROSS,1900,2
10,CRUCIFIXION,0,1
10,CRUCIFIXION,800,2
10,CRUCIFIXION,900,1
10,CRUCIFIXION,1000,7
10,CRUCIFIXION,1100,19
10,CRUCIFIXION,1200,18
10,CRUCIFIXION,1300,62
10,CRUCIFIXION,1400,103
10,CRUCIFIXION,1500,204
10,CRUCIFIXION,1600,125
10,CRUCIFIXION,1700,55
10,CRUCIFIXION,1800,55
10,CRUCIFIXION,1900,57
10,CRUCIFIXION,2000,2
11,RESURRECTION,1200,1
11,RESURRECTION,1300,4
11,RESURRECTION,1400,9
11,RESURRECTION,1500,62
11,RESURRECTION,1600,47
11,RESURRECTION,1700,6
11,RESURRECTION,1800,4
11,RESURRECTION,1900,5
11,RESURRECTION,2000,1
12,ASCENSION,900,1
12,ASCENSION,1000,1
12,ASCENSION,1300,2
12,ASCENSION,1400,2
12,ASCENSION,1500,15
12,ASCENSION,1600,11
12,ASCENSION,1700,9
12,ASCENSION,1800,10
12,ASCENSION,1900,6
13,DESCENT OF THE HOLY,1500,3
13,DESCENT OF THE HOLY,1600,1
13,DESCENT OF THE HOLY,1700,1
14,ASSUMPTION,1300,2
14,ASSUMPTION,1400,5
14,ASSUMPTION,1500,21
14,ASSUMPTION,1600,51
14,ASSUMPTION,1700,26
14,ASSUMPTION,1800,8
15,CORONATION OF THE VIRGIN,1200,1
15,CORONATION OF THE VIRGIN,1300,11
15,CORONATION OF THE VIRGIN,1400,8
15,CORONATION OF THE VIRGIN,1500,27
15,CORONATION OF THE VIRGIN,1600,11
15,CORONATION OF THE VIRGIN,1700,7
15,CORONATION OF THE VIRGIN,1800,2
15,CORONATION OF THE VIRGIN,1900,3
